food,hardness_true,stickiness_true,rollability_true,fragility_true,hardness_llm,stickiness_llm,rollability_llm,fragility_llm,attribute_mse
soft_jelly,0.12,0.6,0.18,0.7,0.19542112279333818,0.6337031157869711,0.28268198482874896,0.7854958697965414,0.006169344884449095
rice_ball,0.32,0.45,0.55,0.25,0.29452669974633106,0.44819074589209196,0.6754126444602511,0.2862712941789542,0.00442402514954253
glass_candy,0.88,0.05,0.72,0.55,0.9535926487323358,0.15734228792163235,0.6553149125007964,0.4807313869009025,0.006480136507285919
sticky_cube,0.45,0.82,0.12,0.2,0.5170385221026925,0.7344637389640424,0.04756738500024878,0.16403089976652077,0.004587718821258232
hollow_pasta,0.58,0.05,0.78,0.3,0.5803435610770307,0.09359476803079245,0.7111589512494481,0.3360374907418294,0.001984603141478892
crumbly_cookie,0.5,0.08,0.35,0.9,0.5088951090822376,0.01738463132455069,0.19460322033008146,1.0,0.009536991622932135
slippery_pearl,0.28,0.15,0.92,0.18,0.1943366765507327,0.0692658210620774,0.8532069394758384,0.01759090378946443,0.011173560024815406
dense_bean,0.62,0.2,0.6,0.12,0.6572421010134417,0.3320777521465484,0.6562510884798153,0.14457862549627146,0.005649950121607609
soft_fudge,0.22,0.78,0.15,0.35,0.1622466963212872,0.7403543864539246,0.09345824553936379,0.3544294269437884,0.0020309521449469042
hard_ring,0.82,0.04,0.88,0.22,0.8172100637918766,0.12572776193057075,0.7862781644256569,0.14042199950567957,0.00561836838394207
