split,method,success_rate,spill_rate,mean_action_distance,trajectory_rmse_from_baseline
real,baseline_grits,0.64,0.2,0.18497784789167088,0.0
real,human_upper_bound,0.8800000000000001,0.22000000000000003,0.0,0.09248892394583544
real,llm_bias,0.8,0.18,0.050335796934429224,0.07664897935952654
real,llm_decision_only,0.54,0.3,0.18292522675449743,0.02728553094165253
real,random_bias,0.38,0.3,0.3129719779921767,0.12176856075722475
test,baseline_grits,0.6,0.33333333333333337,0.1949416504071647,0.0
test,human_upper_bound,0.8366666666666667,0.2,0.0,0.09747082520358236
test,llm_bias,0.7833333333333333,0.22999999999999998,0.049317883391444335,0.08093989986804959
test,llm_decision_only,0.5766666666666667,0.31666666666666665,0.19019805140166884,0.032286414958015715
test,random_bias,0.43666666666666665,0.39,0.3126481094029437,0.12091585246648406
